text,text,sentiment,brand
"Panas banget,pengap, antrian yg mau pesen offline panas, ga ada atapnya, nunggunya orderan jadi lama banget .","Panas sekali bagi yang antri untuk memesan offline, tidak ada atapnya, menunggu pesanan jadi lama sekali.",negative,Kopi Kenangan
"Rasa kopinya pas, pelayanan nya ramah... Selalu kesini tiap plg krja sambil nunggu jalanan  gak macet ..tapi sayangnya tempat parkir kurang luas..","Rasa kopinya pas dan pelayanan para stafnya ramah. Saya selalu datang ke sini setiap pulang kerja sambil menunggu jalanan tidak macet. Namun, sayangnya area parkirnya kurang luas.",positive,Kopi Kenangan
Proses lama Merugikan driver,"Proses lama, merugikan driver.",negative,Kopi Kenangan
Enak,1030|||Enak.,positive,Kopi Kenangan
"Pelayanan agak lelet, yang kerja sepertinya kurang sigap",1290|||Pelayanannya agak lambat; staf tampak kurang sigap.,negative,Kopi Kenangan
Worh visiting,Layak dikunjungi.,positive,Kopi Kenangan
Sumpah pelayanan nya ramah banget dan cepat.,Pelayanannya sungguh-sungguh ramah dan cepat.,positive,Kopi Kenangan
nyaman buat tempat ketemuan,1287|||Nyaman sebagai tempat pertemuan.,positive,Kopi Kenangan
Top banget,Top.,positive,Kopi Kenangan
Apaan ini Cok pesen kenangan mantan frappe yang dikasih malah vanilla frappe mas nya malah bilang saya pesen vanilla frappe padahal saya gak pesen yang saya maksud vanilla itu vanilla milkbun saya bilang milkbun nya yang vanilla mana ngelag Mulu lagi mas mas nya ganti gak mau pula sok jago sama dulu juga pernah pesen donat nya donat nya bau sama ada kutunya pelayanan buruk,Saya menerima pesanan yang salah: memesan “Kenangan Mantan Frappe” tetapi diberi Vanilla Frappe. Staf mengira saya memesan Vanilla Frappe dan berargumen bahwa saya memesan item berbeda. Pelayanan buruk dan ada masalah kebersihan pada donat sebelumnya (bau dan kemungkinan ada serangga). Mohon perbaikan pelayanan dan kualitas makanan.,negative,Kopi Kenangan
"Gaada makanan , crew nya cuek",1295|||Tidak ada makanan; kru tampak acuh.,negative,Kopi Kenangan
Biasa biasa aha,Biasa saja.,positive,Kopi Kenangan
"Roti gede sma tepung aja isian sedikit ..payah
Kopi standar lah ...sama seperti yg lain ..cuma es nya ga pelit ....kaya es dikopiin.... bukan es kopi",589|||Roti besar namun isian sedikit; kurang memuaskan. Kopi standar seperti tempat lain; esnya banyak sehingga terasa seperti es kopi bukan kopi es.,negative,Kopi Kenangan
"Di aplikasi sudah di klik pesan sudah jadi, pas saya mau pick up bilang nunggu di panggil, selang 20 menit mereka ngobrol"" sesama barista sampai pesanan saya tdk di buat"" . Saya komplain langsung ternyata pesanan saya belum di buat sama mereka . Barista cewe dan cowo pake kaca mata . Kejadian senin 9 desember jam 20.00","Di aplikasi sudah di klik pesa sudah jadi, saat saya mau pick up saya dibilang untuk tunggu dipanggil. Setelah 20 menit ternyata mereka mengobrol sesama barista sampai pesanan saya tidak dibuat. Saya komplain langsung terbyata pesanan saya belum dibuat oleh mereka. Barista cewek dan cowok pakai kacamata.Kejadian Senin 9 Desember jam 20:00.",negative,Kopi Kenangan
Lebih mendahulukan offline yg onlinen suruh nunggu padahal yg online sama beli,Mengutamakan pelanggan offline dibandingkan online; yang online disuruh menunggu padahal statusnya sama-sama pembeli.,negative,Kopi Kenangan
"Gaada makanan , crew nya cuek","673|||Tidak ada makanan, dan kru tampak acuh tak acuh.",negative,Kopi Kenangan
apaan tukang parkir kok kayak malakin orang,1248|||Sikap tukang parkir menyerupai pemaksaan.,negative,Kopi Kenangan
"Udah beli dua kali di cabang ini tapi beda sama cabang lain. Beli matcha latte sama yang oreo nya beneran cair bgt kek air, kalo beli di cabang lain tuh kental dan kerasa banget enaknya. Pelayanannya bagus, tapi rasa minumannya kurang enak. Padahal di cabang lain enak enak aja","Saya telah membeli dua kali di cabang ini namun rasanya berbeda dibandingkan cabang lain. Saya memesan matcha latte dan varian oreo, namun keduanya sangat cair seperti air; padahal di cabang lain konsistensi minumannya kental dan rasanya jauh lebih nikmat. Pelayanan ramah, tetapi kualitas rasa minuman kurang memuaskan. Padahal di cabang lain rasanya baik-baik saja.",negative,Kopi Kenangan
Yang di pesen apa yang di kasih apa trus tulisan latte tapi rasa nya pahang,"Yang dipesan sesuai yang diberikan, tetapi tulisan ""latte"" terasa kurang berkarakter.",negative,Kopi Kenangan
