text,sentiment,brand
lumayan buat nongkrong meski ada jalur padat kendara,negative,Kopi Nako
nyaman buat nongkrong bareng temen layan baik,positive,Kopi Nako
kopi enak cireng suka anak ku,positive,Kopi Nako
lokasi strategis makanan kurang variasi terlalu rame jadi lihat sempit banyak area outdoor jadi agak gak nyaman waktu hujan,negative,Kopi Nako
adem buat nyantey pokonyah,positive,Kopi Nako
sangat kecewa saya dan teman saya pesan minuman baru minum sedikit dan tinggal sebentar foto foto tidak jauh dari meja malah buang dan resin hati hati buat yang kesini kalo mau ke wc atau foto foto minuman sama makanan nya bakal resin langsung,negative,Kopi Nako
tempat nongkrong di kbp yang oke,negative,Kopi Nako
kopi nyaa enak makan enak tempat apa lagi enak buat nongkrong,positive,Kopi Nako
lokasi strategis makanan kurang variasi terlalu rame jadi lihat sempit banyak area outdoor jadi agak gak nyaman waktu hujan,negative,Kopi Nako
enak makan tempat juga tapi mbak mbak jutek kurang ramah,negative,Kopi Nako
iced latte had a hair in it french fries were really bad because of the old cooking oil only good thing was the atmosphere,negative,Kopi Nako
makanan kopi nya enak tempat nya cozy,positive,Kopi Nako
good food surprisingly tasty plenty of interesting beverage choices especially coffee nice area if it s not raining cleaning of the ashtray should be enhanced one thing i dissapointed the most is the use of plastic container on all of the menu please be aware of this,negative,Kopi Nako
iced latte had a hair in it french fries were really bad because of the old cooking oil only good thing was the atmosphere,negative,Kopi Nako
your run of the mill coffee shop in bandung nothing special about it but i did enjoy my visit here it can get pretty crowded here especially on the weekends plenty of seating both indoors and outdoors though there is less indoor seating compared to outdoor seating the drinks they offer are nothing to write home about either it s just okay and there s nothing wrong with that 5 5,negative,Kopi Nako
tempat nongkrong di kbp yang oke,negative,Kopi Nako
tempat mejeng nya anak abg sini,positive,Kopi Nako
tempat nya bikin pw tapi kalo ujan beda cerita,negative,Kopi Nako
tempat cocok bwt muda mud kopi nya mantap,positive,Kopi Nako
layan nya sangat ramah apa lagi teteh rishel dan suasa wenak poll,positive,Kopi Nako
mahal tapi sesuai,negative,Kopi Nako
tempat bagus makan dan minum enak,positive,Kopi Nako
layan ramah tempat enak buat nugas makan juga enak mantap,positive,Kopi Nako
the coffee was nice but not as good for the sides maincourse the ambience outside great the toilet can be great stinky the service okay bit shocked there is rainbow community here one of bravely asked for my number terrible,negative,Kopi Nako
dulu heran kenapa nako di cap bagai sarang boti nyata sekarang saya ngerti dari staffnya gemulai tamu gemulai sampai yang ngisi live musik juga gemulai semua please atuh lah,negative,Kopi Nako
layan luar biasa ramah ramah cepat lagi pokok top markotop,positive,Kopi Nako
untuk minum enak cocok yang suka kopi sweet dan suasana nyaman buat nongkrong untuk layan ramah ramah betul saya di layan oleh agam surya saputra,positive,Kopi Nako
