title,stars,text,sentiment,taste,service,ambience,price,packaging,categories,sentiment_accuracy
Kopi Nako Bandung,4,kopi sih juara klo makanan nya so so tempat lumayan enak parkir untuk motor banyak tapi mobil hanya masuk 2 saja tapi bisa parkir di jalan,positive,1,0,1,0,0,"taste, ambience, facility",correct
Kopi Nako Bandung,5,first time to be here taro latte service time 2 menit great,positive,0,1,0,0,0,service,correct
Kopi Nako Bandung,1,dulu heran kenapa nako di cap bagai sarang boti nyata sekarang saya ngerti dari staffnya gemulai tamu gemulai sampai yang ngisi live musik juga gemulai semua please atuh lah,negative,0,1,1,0,0,"service, ambience",correct
Kopi Nako Bandung,3,tempat nongki langgan,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,coffee nya enak makanan nya juga oke,positive,1,0,0,0,0,taste,correct
Kopi Nako Bandung,5,good vibe good coffee a lot of outdoor seat,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,4,nasi goreng dengan rasa tidak jelas,negative,1,0,0,0,0,taste,correct
Kopi Nako Bandung,5,americano nya nendang ada ashtray buat wfc bisa ada colok,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,lokasi bagus nyaman karena banyak pohon parkir cukup luas untuk roda 2 tapi roda 4 tidak ada harga banding dengan rasa staf ramah tidak perlu lama nunggu minuman siap klo makanan agak sedikit perlu waktu suasana adem nyaman klo dari sore ke malam tapi pas tidak hujan yaa,positive,1,1,1,1,0,"taste, service, ambience, price, facility",correct
Kopi Nako Bandung,5,cozy place enak buat nongkrong dengan suasana yang tenang dan nyaman,positive,1,0,1,0,0,"taste, ambience, facility",correct
Kopi Nako Bandung,5,tempat ngopi yang enak dekat dengan rumah nyaman dan tenang sekali sini layan nya juga ramah,positive,1,1,1,0,0,"taste, service, ambience",correct
Kopi Nako Bandung,5,enak banget kopi sama cemilan nya apalagi tahu cabe garam barista nya juga pada baik baik banget,positive,1,1,0,0,0,"taste, service",correct
Kopi Nako Bandung,5,nyaman tempat,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,cantik dan nyaman,positive,0,0,1,0,0,ambience,correct
Kopi Nako Bandung,5,nyaman banget minum enak,positive,1,0,1,0,0,"taste, ambience",correct
Kopi Nako Bandung,5,makanan nyaa topp layan ramah banget seruu 3 frendly abis,positive,1,1,0,0,0,"taste, service",correct
