review_id,brand,brand_alias,aspect,sentiment,text
starbucks_0002,Starbucks,Global Brand,ambiance,positive,Tempatnya di area downwalk.. melewati para perokok.. untuk tempatnya lumayan nyaman.. area indoor nya banyak.. AC nya cukup dingin.. Baristanya baik2 sama ramah as always..
starbucks_0002,Starbucks,Global Brand,service,positive,Tempatnya di area downwalk.. melewati para perokok.. untuk tempatnya lumayan nyaman.. area indoor nya banyak.. AC nya cukup dingin.. Baristanya baik2 sama ramah as always..
starbucks_0005,Starbucks,Global Brand,taste,positive,Just visit for coffee and talking much with my friends
starbucks_0007,Starbucks,Global Brand,service,positive,Good vibes.. Nice _ as usual.. Friendly barista ____
starbucks_0008,Starbucks,Global Brand,ambiance,positive,Tempatnya nyaman
starbucks_0009,Starbucks,Global Brand,ambiance,positive,It's a Starbucks as it is but this place isn't an excellent place for WiFi because it's really slow.
starbucks_0012,Starbucks,Global Brand,ambiance,positive,Cozy place to stop by for a coffee and cake. The cheesecake is yummy!
starbucks_0012,Starbucks,Global Brand,taste,positive,Cozy place to stop by for a coffee and cake. The cheesecake is yummy!
starbucks_0014,Starbucks,Global Brand,ambiance,positive,Nice atmosphere for enjoying a cup of coffee
starbucks_0014,Starbucks,Global Brand,packaging,positive,Nice atmosphere for enjoying a cup of coffee
starbucks_0014,Starbucks,Global Brand,taste,positive,Nice atmosphere for enjoying a cup of coffee
starbucks_0017,Starbucks,Global Brand,ambiance,positive,Menyenangkan buat ngobrolin skripsian dan karir __. Tempatnya cozy untuk minumanya ya standar lah seperti starbuck pada umumnya saja.
starbucks_0018,Starbucks,Global Brand,ambiance,positive,Pegawainya sangat ramah. Tempat luas. Ada smoking dan nonsmoking area. Lokasi di samping Lobi Pintu Plaza.
starbucks_0018,Starbucks,Global Brand,service,positive,Pegawainya sangat ramah. Tempat luas. Ada smoking dan nonsmoking area. Lokasi di samping Lobi Pintu Plaza.
starbucks_0019,Starbucks,Global Brand,ambiance,positive,Tempatnya nyaman bgtt buat nugaas
starbucks_0020,Starbucks,Global Brand,taste,positive,Istirahat sejenak sambil menikmati segelas kopi...
starbucks_0028,Starbucks,Global Brand,taste,positive,Enak ini tempatnya buat nongkrong sambil ngopi
starbucks_0033,Starbucks,Global Brand,packaging,positive,Nice place to relax and drink a cup of coffee
starbucks_0033,Starbucks,Global Brand,taste,positive,Nice place to relax and drink a cup of coffee
starbucks_0036,Starbucks,Global Brand,ambiance,positive,Tempatnya cukup nyaman
starbucks_0038,Starbucks,Global Brand,ambiance,positive,It is nice being here. However sometimes the wifi does not work properly
starbucks_0041,Starbucks,Global Brand,ambiance,positive,Tempat ngopi santai sambil nunggu yang nge mall
starbucks_0042,Starbucks,Global Brand,service,positive,Good Service
starbucks_0049,Starbucks,Global Brand,ambiance,positive,Tempat duduk saat weekend sangat kurang Dan penuh sesak pengunjung maklum brand Starbucks
starbucks_0050,Starbucks,Global Brand,ambiance,positive,Sy sering disini.jika selesai belanja atsu sejedar nongkrong sll disini. Strategis enak nyaman bersih. Pelayanan cpt dn rzmah
starbucks_0050,Starbucks,Global Brand,service,positive,Sy sering disini.jika selesai belanja atsu sejedar nongkrong sll disini. Strategis enak nyaman bersih. Pelayanan cpt dn rzmah
starbucks_0050,Starbucks,Global Brand,taste,positive,Sy sering disini.jika selesai belanja atsu sejedar nongkrong sll disini. Strategis enak nyaman bersih. Pelayanan cpt dn rzmah
starbucks_0051,Starbucks,Global Brand,ambiance,positive,Lobby Starbucks TSM tempat nunggu GoCar
starbucks_0052,Starbucks,Global Brand,ambiance,positive,Coffee shop yang nyaman
starbucks_0052,Starbucks,Global Brand,taste,positive,Coffee shop yang nyaman
starbucks_0053,Starbucks,Global Brand,taste,positive,Enak
starbucks_0054,Starbucks,Global Brand,service,positive,Baristanya ramah
starbucks_0055,Starbucks,Global Brand,ambiance,positive,Tempat favorite sebelum keluar dari paskal pasti mampir
starbucks_0058,Starbucks,Global Brand,service,positive,Staff was friendly and helpful greet thank you make me day
starbucks_0061,Starbucks,Global Brand,taste,positive,Nice place to have coffee break
starbucks_0065,Starbucks,Global Brand,taste,positive,Enak buat nongkrong
