brand,brand_alias,aspect,aspect_total,brand_aspect_mentions,aspect_share_percent,positive,negative,positive_percent,negative_percent
Kopi Kenangan,National Brand,ambiance,381,1086,35.08,365,16,95.8,4.2
Kopi Kenangan,National Brand,packaging,1,1086,0.09,1,0,100.0,0.0
Kopi Kenangan,National Brand,price,16,1086,1.47,13,3,81.25,18.75
Kopi Kenangan,National Brand,service,229,1086,21.09,164,65,71.62,28.38
Kopi Kenangan,National Brand,taste,459,1086,42.27,398,61,86.71,13.29
Kopi Nako,Local Brand,ambiance,751,1844,40.73,672,79,89.48,10.52
Kopi Nako,Local Brand,packaging,3,1844,0.16,3,0,100.0,0.0
Kopi Nako,Local Brand,price,127,1844,6.89,105,22,82.68,17.32
Kopi Nako,Local Brand,service,342,1844,18.55,287,55,83.92,16.08
Kopi Nako,Local Brand,taste,621,1844,33.68,573,48,92.27,7.73
Starbucks,Global Brand,ambiance,165,213,77.46,159,6,96.36,3.64
Starbucks,Global Brand,packaging,19,213,8.92,11,8,57.89,42.11
Starbucks,Global Brand,price,29,213,13.62,21,8,72.41,27.59
Starbucks,Global Brand,service,0,213,0.0,0,0,0.0,0.0
Starbucks,Global Brand,taste,0,213,0.0,0,0,0.0,0.0
