Model,Class,Precision,Recall,F1-Score,Support
Decision Tree,negative,0.28820960698689957,0.8048780487804879,0.42443729903536975,82.0
Decision Tree,positive,0.9576719576719577,0.6895238095238095,0.8017718715393134,525.0
Decision Tree,macro avg,0.6229407823294286,0.7472009291521486,0.6131045852873416,607.0
Decision Tree,weighted avg,0.8672338806436631,0.7051070840197694,0.7507975141335089,607.0
Naive Bayes,negative,0.5894736842105263,0.6829268292682927,0.632768361581921,82.0
Naive Bayes,positive,0.94921875,0.9257142857142857,0.9373191899710704,525.0
Naive Bayes,macro avg,0.7693462171052632,0.8043205574912893,0.7850437757764956,607.0
Naive Bayes,weighted avg,0.9006205697780283,0.8929159802306426,0.8961772329234424,607.0
SVM,negative,0.7368421052631579,0.6829268292682927,0.7088607594936709,82.0
SVM,positive,0.9510357815442562,0.9619047619047619,0.9564393939393939,525.0
SVM,macro avg,0.843938943403707,0.8224157955865273,0.8326500767165324,607.0
SVM,weighted avg,0.9221002272525757,0.9242174629324547,0.9229938452992796,607.0
Logistic Regression,negative,0.525,0.7682926829268293,0.6237623762376238,82.0
Logistic Regression,positive,0.9609856262833676,0.8914285714285715,0.924901185770751,525.0
Logistic Regression,macro avg,0.7429928131416839,0.8298606271777004,0.7743317810041874,607.0
Logistic Regression,weighted avg,0.9020880622714463,0.8747940691927513,0.8842201604301968,607.0
Random Forest,negative,0.6404494382022472,0.6951219512195121,0.6666666666666666,82.0
Random Forest,positive,0.9517374517374517,0.939047619047619,0.9453499520613614,525.0
Random Forest,macro avg,0.7960934449698495,0.8170847851335656,0.806008309364014,607.0
Random Forest,weighted avg,0.9096853642417568,0.9060955518945635,0.9077024571645493,607.0
Gradient Boosting,negative,0.39375,0.7682926829268293,0.5206611570247934,82.0
Gradient Boosting,positive,0.9574944071588367,0.8152380952380952,0.8806584362139918,525.0
Gradient Boosting,macro avg,0.6756222035794184,0.7917653890824623,0.7006597966193926,607.0
Gradient Boosting,weighted avg,0.8813378315624205,0.8088962108731467,0.8320261843301132,607.0
