Model,Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Macro,Recall_Macro,F1_Macro,Fold
Decision Tree,0.7265238879736409,0.8753759579628321,0.7265238879736409,0.7683162138246541,0.6364575992482969,0.7698722415795587,0.6341567909840827,1
Naive Bayes,0.9110378912685337,0.9257004459831861,0.9110378912685337,0.9159953706212608,0.8007867587025903,0.8765389082462254,0.8315275493421053,1
SVM,0.9406919275123559,0.9395893178137504,0.9406919275123559,0.9400631156432387,0.8785323057534777,0.8628106852497097,0.8704222011385199,1
Decision Tree,0.7018121911037891,0.8506316184745265,0.7018121911037891,0.7471313756128245,0.60645752097365,0.709279907084785,0.5984173108905825,2
Naive Bayes,0.9028006589785832,0.9043380528942817,0.9028006589785832,0.9035344528815983,0.7908271354518819,0.7997444831591174,0.7951775532030495,2
SVM,0.9357495881383855,0.9354257906300718,0.9357495881383855,0.9355830673088713,0.8637046425386096,0.8599535423925668,0.8618143398341048,2
Decision Tree,0.7232289950576606,0.8679569011028077,0.7232289950576606,0.7652118656895388,0.6287238325281803,0.7525319396051103,0.6264177486005685,3
Naive Bayes,0.899505766062603,0.8979910253031852,0.899505766062603,0.8987126385593546,0.7861526658995014,0.7772590011614402,0.7815941439129845,3
SVM,0.9159802306425041,0.9100445298932314,0.9159802306425041,0.9112221548680446,0.8408467553688141,0.7713472706155633,0.8002838618109094,3
Decision Tree,0.6985172981878089,0.8614778098314425,0.6985172981878089,0.7452287434996208,0.6159284674568517,0.7331010452961673,0.6044588776959973,4
Naive Bayes,0.8797364085667215,0.8868275416984683,0.8797364085667215,0.882879499926496,0.7440379063637504,0.7709756097560976,0.756298638801045,4
SVM,0.899505766062603,0.8920418469170117,0.899505766062603,0.894495438235263,0.7947913709906329,0.7412427409988386,0.76393218955811,4
Decision Tree,0.6864686468646864,0.8439504583942556,0.6864686468646864,0.7350236806665893,0.594229300111653,0.6885361552028219,0.5810348591805545,5
Naive Bayes,0.8795379537953796,0.8789114557843616,0.8795379537953796,0.8792211563616367,0.7398288973384031,0.7373192239858906,0.7385630957798253,5
SVM,0.9141914191419142,0.9080908880153997,0.9141914191419142,0.9095514888567507,0.8328510041217223,0.7677601410934745,0.795099875156055,5
